;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;PRR5;Unkn;N2_1A;;29,5672180539488;29,5672180539488;0;NaN;NaN;NaN;0;60;
;A02;SYBR;PRR5;Unkn;N2_1B;;33,0384345972868;33,0384345972868;0;NaN;NaN;NaN;0;60;
;A03;SYBR;PRR5;Unkn;N2_2A;;27,2977994828644;27,2977994828644;0;NaN;NaN;NaN;0;60;
;A04;SYBR;PRR5;Unkn;N2_2B;;26,4482459633876;26,4482459633876;0;NaN;NaN;NaN;0;60;
;A05;SYBR;PRR5;Unkn;N2_3A;;24,4185712511491;24,4185712511491;0;NaN;NaN;NaN;0;60;
;A06;SYBR;PRR5;Unkn;N2_3B;;23,4027405278637;23,4027405278637;0;NaN;NaN;NaN;0;60;
;A07;SYBR;PRR5;Unkn;N2_4A;;28,6474595290697;28,6474595290697;0;NaN;NaN;NaN;0;60;
;A08;SYBR;PRR5;Unkn;N2_4B;;31,8629135444147;31,8629135444147;0;NaN;NaN;NaN;0;60;
;A09;SYBR;PRR5;Unkn;N2_5A;;28,7711118776875;28,7711118776875;0;NaN;NaN;NaN;0;60;
;A10;SYBR;PRR5;Unkn;N2_5B;;28,0407474210481;28,0407474210481;0;NaN;NaN;NaN;0;60;
;A11;SYBR;PRR5;Unkn;N2_6A;;28,6300887413818;28,6300887413818;0;NaN;NaN;NaN;0;60;
;A12;SYBR;PRR5;Unkn;N2_6B;;31,401400933428;31,401400933428;0;NaN;NaN;NaN;0;60;
;B01;SYBR;PRR5;Unkn;N2_7A;;30,3851606798066;30,3851606798066;0;NaN;NaN;NaN;0;60;
;B02;SYBR;PRR5;Unkn;N2_7B;;30,853730736188;30,853730736188;0;NaN;NaN;NaN;0;60;
;B03;SYBR;PRR5;Unkn;N2_8A;;25,7345660217193;25,7345660217193;0;NaN;NaN;NaN;0;60;
;B04;SYBR;PRR5;Unkn;N2_8B;;26,5662398772973;26,5662398772973;0;NaN;NaN;NaN;0;60;
;B05;SYBR;PRR5;Unkn;N2_8C;;27,8245682192183;27,8245682192183;0;NaN;NaN;NaN;0;60;
;B06;SYBR;PRR5;Unkn;N2_8D;;29,9939816667058;29,9939816667058;0;NaN;NaN;NaN;0;60;
;B07;SYBR;PRR5;Unkn;N2_9A;;23,7927712897785;23,7927712897785;0;NaN;NaN;NaN;0;60;
;B08;SYBR;PRR5;Unkn;N2_9B;;24,1356833933046;24,1356833933046;0;NaN;NaN;NaN;0;60;
;B09;SYBR;PRR5;Unkn;N2_9C;;26,0247786715344;26,0247786715344;0;NaN;NaN;NaN;0;60;
;B10;SYBR;PRR5;Unkn;N2_9D;;27,408761268201;27,408761268201;0;NaN;NaN;NaN;0;60;
;B11;SYBR;PRR5;NTC;NTC;;NaN;0;0;NaN;NaN;0;0;60;
;B12;SYBR;PRR5;Unkn;N2_10B;;26,333914647667;26,333914647667;0;NaN;NaN;NaN;0;60;
;C01;SYBR;PRR5;Unkn;N2_10C;;27,2607457125977;27,2607457125977;0;NaN;NaN;NaN;0;60;
;C02;SYBR;PRR5;Unkn;N2_10D;;33,402225629529;33,402225629529;0;NaN;NaN;NaN;0;60;
;C03;SYBR;PRR5;Unkn;N2_11A;;NaN;0;0;NaN;NaN;0;0;60;
