;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;TOC1;Unkn;N2_1A;;31,2311032591253;31,2311032591253;0;NaN;NaN;NaN;0;60;
;A02;SYBR;TOC1;Unkn;N2_1B;;27,7354264275852;27,7354264275852;0;NaN;NaN;NaN;0;60;
;A03;SYBR;TOC1;Unkn;N2_2A;;30,1009819537572;30,1009819537572;0;NaN;NaN;NaN;0;60;
;A04;SYBR;TOC1;Unkn;N2_2B;;30,0073449756823;30,0073449756823;0;NaN;NaN;NaN;0;60;
;A05;SYBR;TOC1;Unkn;N2_3A;;26,2158035893075;26,2158035893075;0;NaN;NaN;NaN;0;60;
;A06;SYBR;TOC1;Unkn;N2_3B;;27,1192009760895;27,1192009760895;0;NaN;NaN;NaN;0;60;
;A07;SYBR;TOC1;Unkn;N2_4A;;26,0181870949332;26,0181870949332;0;NaN;NaN;NaN;0;60;
;A08;SYBR;TOC1;Unkn;N2_4B;;25,7177986975157;25,7177986975157;0;NaN;NaN;NaN;0;60;
;A09;SYBR;TOC1;Unkn;N2_5A;;34,7662033672502;34,7662033672502;0;NaN;NaN;NaN;0;60;
;A10;SYBR;TOC1;Unkn;N2_5B;;25,9510818120423;25,9510818120423;0;NaN;NaN;NaN;0;60;
;A11;SYBR;TOC1;Unkn;N2_6A;;26,1743180857958;26,1743180857958;0;NaN;NaN;NaN;0;60;
;A12;SYBR;TOC1;Unkn;N2_6B;;27,4782885669509;27,4782885669509;0;NaN;NaN;NaN;0;60;
;B01;SYBR;TOC1;Unkn;N2_7A;;27,4669341877772;27,4669341877772;0;NaN;NaN;NaN;0;60;
;B02;SYBR;TOC1;Unkn;N2_7B;;27,831378563392;27,831378563392;0;NaN;NaN;NaN;0;60;
;B03;SYBR;TOC1;Unkn;N2_8A;;27,4703708679457;27,4703708679457;0;NaN;NaN;NaN;0;60;
;B04;SYBR;TOC1;Unkn;N2_8B;;27,914037355265;27,914037355265;0;NaN;NaN;NaN;0;60;
;B05;SYBR;TOC1;Unkn;N2_8C;;28,2219510426748;28,2219510426748;0;NaN;NaN;NaN;0;60;
;B06;SYBR;TOC1;Unkn;N2_8D;;29,022362666296;29,022362666296;0;NaN;NaN;NaN;0;60;
;B07;SYBR;TOC1;Unkn;N2_9A;;27,603507314158;27,603507314158;0;NaN;NaN;NaN;0;60;
;B08;SYBR;TOC1;Unkn;N2_9B;;27,245140680114;27,245140680114;0;NaN;NaN;NaN;0;60;
;B09;SYBR;TOC1;Unkn;N2_9C;;28,0034855386972;28,0034855386972;0;NaN;NaN;NaN;0;60;
;B10;SYBR;TOC1;Unkn;N2_9D;;27,8036153515957;27,8036153515957;0;NaN;NaN;NaN;0;60;
;B11;SYBR;TOC1;Unkn;N2_10A;;26,1608536817135;26,1608536817135;0;NaN;NaN;NaN;0;60;
;B12;SYBR;TOC1;Unkn;N2_10B;;26,6687485689802;26,6687485689802;0;NaN;NaN;NaN;0;60;
;C01;SYBR;TOC1;Unkn;N2_10C;;28,7701381736842;28,7701381736842;0;NaN;NaN;NaN;0;60;
;C02;SYBR;TOC1;Unkn;N2_10D;;28,3283823676434;28,3283823676434;0;NaN;NaN;NaN;0;60;
;C03;SYBR;TOC1;Unkn;N2_11A;;28,7722815664988;28,7722815664988;0;NaN;NaN;NaN;0;60;
;C04;SYBR;TOC1;Unkn;N2_11B;;27,8675946424242;27,8675946424242;0;NaN;NaN;NaN;0;60;
;C05;SYBR;TOC1;Unkn;N2_11C;;28,1113935261908;28,1113935261908;0;NaN;NaN;NaN;0;60;
;C06;SYBR;TOC1;Unkn;N2_11D;;27,2322054301605;27,2322054301605;0;NaN;NaN;NaN;0;60;
;C07;SYBR;TOC1;Unkn;N2_12A;;27,5448989215131;27,5448989215131;0;NaN;NaN;NaN;0;60;
;C08;SYBR;TOC1;Unkn;N2_12B;;27,2667729386327;27,2667729386327;0;NaN;NaN;NaN;0;60;
;C09;SYBR;TOC1;Unkn;N2_12C;;26,9384376533457;26,9384376533457;0;NaN;NaN;NaN;0;60;
;C10;SYBR;TOC1;Unkn;N2_12D;;27,4625272734595;27,4625272734595;0;NaN;NaN;NaN;0;60;
;C11;SYBR;TOC1;Unkn;N2_13A;;30,1670753007457;30,1670753007457;0;NaN;NaN;NaN;0;60;
;C12;SYBR;TOC1;Unkn;N2_13B;;NaN;0;0;NaN;NaN;0;0;60;
;D01;SYBR;TOC1;Unkn;N2_13C;;27,6106672441198;27,6106672441198;0;NaN;NaN;NaN;0;60;
;D02;SYBR;TOC1;Unkn;N2_13D;;28,5694553224723;28,5694553224723;0;NaN;NaN;NaN;0;60;
;D03;SYBR;TOC1;Unkn;NTC;;NaN;0;0;NaN;NaN;0;0;60;
;D05;SYBR;TOC1;Unkn;I1_1A;;28,306672047157;28,306672047157;0;NaN;NaN;NaN;0;60;
;D06;SYBR;TOC1;Unkn;I1_1B;;29,9438473754097;29,9438473754097;0;NaN;NaN;NaN;0;60;
;D07;SYBR;TOC1;Unkn;I1_2A;;27,608746894812;27,608746894812;0;NaN;NaN;NaN;0;60;
;D08;SYBR;TOC1;Unkn;I1_2B;;29,9215537844196;29,9215537844196;0;NaN;NaN;NaN;0;60;
;D09;SYBR;TOC1;Unkn;I1_3A;;27,8619876634835;27,8619876634835;0;NaN;NaN;NaN;0;60;
;D10;SYBR;TOC1;Unkn;I1_3B;;26,8044070945907;26,8044070945907;0;NaN;NaN;NaN;0;60;
;D11;SYBR;TOC1;Unkn;I1_4A;;27,5696054776805;27,5696054776805;0;NaN;NaN;NaN;0;60;
;D12;SYBR;TOC1;Unkn;I1_4B;;28,487652816508;28,487652816508;0;NaN;NaN;NaN;0;60;
;E01;SYBR;TOC1;Unkn;I1_5A;;27,814856468971;27,814856468971;0;NaN;NaN;NaN;0;60;
;E02;SYBR;TOC1;Unkn;I1_5B;;28,7282593392914;28,7282593392914;0;NaN;NaN;NaN;0;60;
;E03;SYBR;TOC1;Unkn;I1_6A;;27,718450187142;27,718450187142;0;NaN;NaN;NaN;0;60;
;E04;SYBR;TOC1;Unkn;I1_6B;;27,5086730639792;27,5086730639792;0;NaN;NaN;NaN;0;60;
;E05;SYBR;TOC1;Unkn;I1_7A;;27,8370884120427;27,8370884120427;0;NaN;NaN;NaN;0;60;
;E06;SYBR;TOC1;Unkn;I1_7B;;31,8958016468415;31,8958016468415;0;NaN;NaN;NaN;0;60;
;E07;SYBR;TOC1;Unkn;I1_8A;;39,3105733429567;39,3105733429567;0;NaN;NaN;NaN;0;60;
;E08;SYBR;TOC1;Unkn;I1_8B;;30,7281854730152;30,7281854730152;0;NaN;NaN;NaN;0;60;
;E09;SYBR;TOC1;Unkn;I1_8C;;28,8892732132596;28,8892732132596;0;NaN;NaN;NaN;0;60;
;E10;SYBR;TOC1;Unkn;I1_8D;;28,9955726654249;28,9955726654249;0;NaN;NaN;NaN;0;60;
;E11;SYBR;TOC1;Unkn;I1_9A;;28,0444796095822;28,0444796095822;0;NaN;NaN;NaN;0;60;
;E12;SYBR;TOC1;Unkn;I1_9B;;27,4568813273183;27,4568813273183;0;NaN;NaN;NaN;0;60;
;F01;SYBR;TOC1;Unkn;I1_9C;;29,5244385528106;29,5244385528106;0;NaN;NaN;NaN;0;60;
;F02;SYBR;TOC1;Unkn;I1_9D;;28,1537011731925;28,1537011731925;0;NaN;NaN;NaN;0;60;
;F03;SYBR;TOC1;Unkn;I1_10A;;27,0550950805402;27,0550950805402;0;NaN;NaN;NaN;0;60;
;F04;SYBR;TOC1;Unkn;I1_10B;;28,3746688405154;28,3746688405154;0;NaN;NaN;NaN;0;60;
;F05;SYBR;TOC1;Unkn;I1_10C;;30,649827588045;30,649827588045;0;NaN;NaN;NaN;0;60;
;F06;SYBR;TOC1;Unkn;I1_11B;;27,2872302480973;27,2872302480973;0;NaN;NaN;NaN;0;60;
;F07;SYBR;TOC1;Unkn;I1_11A;;29,3060578138313;29,3060578138313;0;NaN;NaN;NaN;0;60;
;F08;SYBR;TOC1;Unkn;I1_10D;;31,1046463566084;31,1046463566084;0;NaN;NaN;NaN;0;60;
;F09;SYBR;TOC1;Unkn;I1_11C;;28,5830020798028;28,5830020798028;0;NaN;NaN;NaN;0;60;
;F10;SYBR;TOC1;Unkn;I1_11D;;27,8159055549646;27,8159055549646;0;NaN;NaN;NaN;0;60;
;F11;SYBR;TOC1;Unkn;I1_12A;;28,5341899588109;28,5341899588109;0;NaN;NaN;NaN;0;60;
;F12;SYBR;TOC1;Unkn;I1_12B;;28,2677649134277;28,2677649134277;0;NaN;NaN;NaN;0;60;
;G01;SYBR;TOC1;Unkn;I1_12C;;28,5488718334264;28,5488718334264;0;NaN;NaN;NaN;0;60;
;G02;SYBR;TOC1;Unkn;I1_12D;;29,1416544005958;29,1416544005958;0;NaN;NaN;NaN;0;60;
;G03;SYBR;TOC1;Unkn;I1_13A;;28,1855534877982;28,1855534877982;0;NaN;NaN;NaN;0;60;
;G04;SYBR;TOC1;Unkn;I1_13B;;29,3045949852524;29,3045949852524;0;NaN;NaN;NaN;0;60;
;G05;SYBR;TOC1;Unkn;I1_13C;;NaN;0;0;NaN;NaN;0;0;60;
;G06;SYBR;TOC1;Unkn;I1_13D;;29,7263529402434;29,7263529402434;0;NaN;NaN;NaN;0;60;
;G07;SYBR;TOC1;Unkn;NTC;;NaN;0;0;NaN;NaN;0;0;60;
;H10;SYBR;GAPDH;Unkn;IRC1_30;;22,3154733180433;22,3154733180433;0;NaN;NaN;NaN;0;60;
;H11;SYBR;GAPDH;Unkn;IRC2_30;;23,0826587056546;23,0826587056546;0;NaN;NaN;NaN;0;60;
;H12;SYBR;GAPDH;Unkn;IRC3_30;;21,7533541886568;21,7533541886568;0;NaN;NaN;NaN;0;60;
