;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A02;SYBR;MSI1;Unkn;N13_1B;;29,2555999841077;29,2555999841077;0;NaN;NaN;NaN;0;60;
;A03;SYBR;MSI1;Unkn;N13_2A;;29,6400686214709;29,6400686214709;0;NaN;NaN;NaN;0;60;
;A05;SYBR;MSI1;Unkn;N13_3A;;29,3619246424923;29,3619246424923;0;NaN;NaN;NaN;0;60;
;A06;SYBR;MSI1;Unkn;N13_3B;;28,2524644588508;28,2524644588508;0;NaN;NaN;NaN;0;60;
;A07;SYBR;MSI1;Unkn;N13_4A;;28,9134895093982;28,9134895093982;0;NaN;NaN;NaN;0;60;
;A08;SYBR;MSI1;Unkn;N13_4B;;30,1393398907163;30,1393398907163;0;NaN;NaN;NaN;0;60;
;A09;SYBR;MSI1;Unkn;N13_5A;;28,3876529740425;28,3876529740425;0;NaN;NaN;NaN;0;60;
;A10;SYBR;MSI1;Unkn;N13_5B;;28,8737123108815;28,8737123108815;0;NaN;NaN;NaN;0;60;
;A11;SYBR;MSI1;Unkn;N13_6A;;29,0919771182187;29,0919771182187;0;NaN;NaN;NaN;0;60;
;A12;SYBR;MSI1;Unkn;N13_6B;;29,4242535254859;29,4242535254859;0;NaN;NaN;NaN;0;60;
;B01;SYBR;MSI1;Unkn;N13_7A;;28,8862528650469;28,8862528650469;0;NaN;NaN;NaN;0;60;
;B02;SYBR;MSI1;Unkn;N13_7B;;39,503811052927;39,503811052927;0;NaN;NaN;NaN;0;60;
;B03;SYBR;MSI1;Unkn;N13_8A;;28,6298496486854;28,6298496486854;0;NaN;NaN;NaN;0;60;
;B04;SYBR;MSI1;Unkn;N13_8B;;31,5225650219006;31,5225650219006;0;NaN;NaN;NaN;0;60;
;B05;SYBR;MSI1;Unkn;N13_8C;;29,0589621353089;29,0589621353089;0;NaN;NaN;NaN;0;60;
;B06;SYBR;MSI1;Unkn;N13_8D;;28,8633792107886;28,8633792107886;0;NaN;NaN;NaN;0;60;
;B07;SYBR;MSI1;Unkn;N13_9A;;28,8042698330349;28,8042698330349;0;NaN;NaN;NaN;0;60;
;B08;SYBR;MSI1;Unkn;N13_9B;;34,3942761071439;34,3942761071439;0;NaN;NaN;NaN;0;60;
;B09;SYBR;MSI1;Unkn;N13_9C;;28,8149118234893;28,8149118234893;0;NaN;NaN;NaN;0;60;
;B10;SYBR;MSI1;Unkn;N13_9D;;29,1536043641096;29,1536043641096;0;NaN;NaN;NaN;0;60;
;B11;SYBR;MSI1;Unkn;N13_10A;;30,3560323740238;30,3560323740238;0;NaN;NaN;NaN;0;60;
;B12;SYBR;MSI1;Unkn;N13_10B;;30,4667142479189;30,4667142479189;0;NaN;NaN;NaN;0;60;
;C01;SYBR;MSI1;Unkn;N13_10C;;29,6041713244437;29,6041713244437;0;NaN;NaN;NaN;0;60;
;C02;SYBR;MSI1;Unkn;N13_10D;;31,1286133443211;31,1286133443211;0;NaN;NaN;NaN;0;60;
;C03;SYBR;MSI1;Unkn;N13_11A;;29,2024552729492;29,2024552729492;0;NaN;NaN;NaN;0;60;
;C04;SYBR;MSI1;Unkn;N13_11B;;29,1793286571819;29,1793286571819;0;NaN;NaN;NaN;0;60;
;C05;SYBR;MSI1;Unkn;N13_11C;;30,7655002909075;30,7655002909075;0;NaN;NaN;NaN;0;60;
;C06;SYBR;MSI1;Unkn;N13_11D;;30,9958486702138;30,9958486702138;0;NaN;NaN;NaN;0;60;
;C07;SYBR;MSI1;Unkn;N13_12A;;30,0670935392868;30,0670935392868;0;NaN;NaN;NaN;0;60;
;C08;SYBR;MSI1;Unkn;N13_12B;;29,3485272409522;29,3485272409522;0;NaN;NaN;NaN;0;60;
;C09;SYBR;MSI1;Unkn;N13_12C;;28,4231737865855;28,4231737865855;0;NaN;NaN;NaN;0;60;
;C10;SYBR;MSI1;Unkn;N13_12D;;30,5706917900087;30,5706917900087;0;NaN;NaN;NaN;0;60;
;C11;SYBR;MSI1;Unkn;N13_13A;;30,0405566367522;30,0405566367522;0;NaN;NaN;NaN;0;60;
;C12;SYBR;MSI1;Unkn;N13_13B;;29,5430455920503;29,5430455920503;0;NaN;NaN;NaN;0;60;
;D02;SYBR;MSI1;Unkn;N13_13D;;28,7628813377959;28,7628813377959;0;NaN;NaN;NaN;0;60;
;D05;SYBR;MSI1;Unkn;I4_1A;;29,8368153026278;29,8368153026278;0;NaN;NaN;NaN;0;60;
;D06;SYBR;MSI1;Unkn;I4_1B;;29,0889981582708;29,0889981582708;0;NaN;NaN;NaN;0;60;
;D07;SYBR;MSI1;Unkn;I4_2A;;28,8876729573819;28,8876729573819;0;NaN;NaN;NaN;0;60;
;D08;SYBR;MSI1;Unkn;I4_2B;;28,5389227059557;28,5389227059557;0;NaN;NaN;NaN;0;60;
;D09;SYBR;MSI1;Unkn;I4_3A;;29,2603503860802;29,2603503860802;0;NaN;NaN;NaN;0;60;
;D10;SYBR;MSI1;Unkn;I4_3B;;28,8302498803584;28,8302498803584;0;NaN;NaN;NaN;0;60;
;D11;SYBR;MSI1;Unkn;I4_4A;;29,4627008545488;29,4627008545488;0;NaN;NaN;NaN;0;60;
;D12;SYBR;MSI1;Unkn;I4_4B;;29,1986689191708;29,1986689191708;0;NaN;NaN;NaN;0;60;
;E01;SYBR;MSI1;Unkn;I4_5A;;29,01187692883;29,01187692883;0;NaN;NaN;NaN;0;60;
;E02;SYBR;MSI1;Unkn;I4_5B;;29,3043316740641;29,3043316740641;0;NaN;NaN;NaN;0;60;
;E03;SYBR;MSI1;Unkn;I4_6A;;29,0749844872108;29,0749844872108;0;NaN;NaN;NaN;0;60;
;E04;SYBR;MSI1;Unkn;I4_6B;;29,2722937679164;29,2722937679164;0;NaN;NaN;NaN;0;60;
;E05;SYBR;MSI1;Unkn;I4_7A;;29,611054359978;29,611054359978;0;NaN;NaN;NaN;0;60;
;E07;SYBR;MSI1;Unkn;I4_8A;;28,4337517653737;28,4337517653737;0;NaN;NaN;NaN;0;60;
;E08;SYBR;MSI1;Unkn;I4_8B;;30,1294020106891;30,1294020106891;0;NaN;NaN;NaN;0;60;
;E09;SYBR;MSI1;Unkn;I4_8C;;29,1754043348272;29,1754043348272;0;NaN;NaN;NaN;0;60;
;E10;SYBR;MSI1;Unkn;I4_8D;;29,3887254680829;29,3887254680829;0;NaN;NaN;NaN;0;60;
;E11;SYBR;MSI1;Unkn;I4_9A;;28,5385722890313;28,5385722890313;0;NaN;NaN;NaN;0;60;
;E12;SYBR;MSI1;Unkn;I4_9B;;28,3809553643682;28,3809553643682;0;NaN;NaN;NaN;0;60;
;F01;SYBR;MSI1;Unkn;I4_9C;;28,7497506877995;28,7497506877995;0;NaN;NaN;NaN;0;60;
;F02;SYBR;MSI1;Unkn;I4_9D;;29,5588843121965;29,5588843121965;0;NaN;NaN;NaN;0;60;
;F03;SYBR;MSI1;Unkn;I4_10A;;32,5958066164794;32,5958066164794;0;NaN;NaN;NaN;0;60;
;F04;SYBR;MSI1;Unkn;I4_10B;;28,0901598746813;28,0901598746813;0;NaN;NaN;NaN;0;60;
;F05;SYBR;MSI1;Unkn;I4_10C;;29,1796380796393;29,1796380796393;0;NaN;NaN;NaN;0;60;
;F06;SYBR;MSI1;Unkn;I4_10D;;28,5528832705167;28,5528832705167;0;NaN;NaN;NaN;0;60;
;F07;SYBR;MSI1;Unkn;I4_11A;;27,5988058922893;27,5988058922893;0;NaN;NaN;NaN;0;60;
;F08;SYBR;MSI1;Unkn;I4_11B;;27,32843147732;27,32843147732;0;NaN;NaN;NaN;0;60;
;F09;SYBR;MSI1;Unkn;I4_11C;;33,2975253117482;33,2975253117482;0;NaN;NaN;NaN;0;60;
;F10;SYBR;MSI1;Unkn;I4_11D;;32,9981200158165;32,9981200158165;0;NaN;NaN;NaN;0;60;
;F11;SYBR;MSI1;Unkn;I4_12A;;27,6645880880789;27,6645880880789;0;NaN;NaN;NaN;0;60;
;F12;SYBR;MSI1;Unkn;I4_12B;;27,6332148192825;27,6332148192825;0;NaN;NaN;NaN;0;60;
;G01;SYBR;MSI1;Unkn;I4_12C;;28,8167303584786;28,8167303584786;0;NaN;NaN;NaN;0;60;
;G02;SYBR;MSI1;Unkn;I4_12D;;29,3671902090209;29,3671902090209;0;NaN;NaN;NaN;0;60;
;G03;SYBR;MSI1;Unkn;I4_13A;;28,9932727366638;28,9932727366638;0;NaN;NaN;NaN;0;60;
