;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;PRDX;Unkn;N13_1A;;23,4023528218593;23,4023528218593;0;NaN;NaN;NaN;0;60;
;A02;SYBR;PRDX;Unkn;N13_1B;;23,4714857759054;23,4714857759054;0;NaN;NaN;NaN;0;60;
;A03;SYBR;PRDX;Unkn;N13_2A;;24,0615506733544;24,0615506733544;0;NaN;NaN;NaN;0;60;
;A04;SYBR;PRDX;Unkn;N13_2B;;23,8469362603049;23,8469362603049;0;NaN;NaN;NaN;0;60;
;A05;SYBR;PRDX;Unkn;N13_3A;;23,4255256389938;23,4255256389938;0;NaN;NaN;NaN;0;60;
;A06;SYBR;PRDX;Unkn;N13_3B;;30,2651721585118;30,2651721585118;0;NaN;NaN;NaN;0;60;
;A07;SYBR;PRDX;Unkn;N13_4A;;23,4741680796337;23,4741680796337;0;NaN;NaN;NaN;0;60;
;A08;SYBR;PRDX;Unkn;N13_4B;;22,2347384973839;22,2347384973839;0;NaN;NaN;NaN;0;60;
;A09;SYBR;PRDX;Unkn;N13_5A;;23,4944650398372;23,4944650398372;0;NaN;NaN;NaN;0;60;
;A10;SYBR;PRDX;Unkn;N13_5B;;22,6865852820712;22,6865852820712;0;NaN;NaN;NaN;0;60;
;A11;SYBR;PRDX;Unkn;N13_6A;;24,8307138502406;24,8307138502406;0;NaN;NaN;NaN;0;60;
;A12;SYBR;PRDX;Unkn;N13_6B;;23,3695935648287;23,3695935648287;0;NaN;NaN;NaN;0;60;
;B01;SYBR;PRDX;Unkn;N13_7A;;23,9952651241473;23,9952651241473;0;NaN;NaN;NaN;0;60;
;B02;SYBR;PRDX;Unkn;N13_7B;;26,2524969070213;26,2524969070213;0;NaN;NaN;NaN;0;60;
;B03;SYBR;PRDX;Unkn;N13_8A;;23,486602772116;23,486602772116;0;NaN;NaN;NaN;0;60;
;B04;SYBR;PRDX;Unkn;N13_8B;;23,4629491846925;23,4629491846925;0;NaN;NaN;NaN;0;60;
;B05;SYBR;PRDX;Unkn;N13_8C;;24,0091455216988;24,0091455216988;0;NaN;NaN;NaN;0;60;
;B06;SYBR;PRDX;Unkn;N13_8D;;23,6560257149561;23,6560257149561;0;NaN;NaN;NaN;0;60;
;B07;SYBR;PRDX;Unkn;N13_9A;;22,9686527916784;22,9686527916784;0;NaN;NaN;NaN;0;60;
;B08;SYBR;PRDX;Unkn;N13_9B;;24,5252016646324;24,5252016646324;0;NaN;NaN;NaN;0;60;
;B09;SYBR;PRDX;Unkn;N13_9D;;23,4063815965943;23,4063815965943;0;NaN;NaN;NaN;0;60;
;B10;SYBR;PRDX;Unkn;N13_9C;;23,433956741092;23,433956741092;0;NaN;NaN;NaN;0;60;
;B11;SYBR;PRDX;Unkn;N13_10A;;24,7159739340976;24,7159739340976;0;NaN;NaN;NaN;0;60;
;B12;SYBR;PRDX;Unkn;N13_10B;;25,5869912512574;25,5869912512574;0;NaN;NaN;NaN;0;60;
;C01;SYBR;PRDX;Unkn;N13_10C;;26,1032535105375;26,1032535105375;0;NaN;NaN;NaN;0;60;
;C02;SYBR;PRDX;Unkn;N13_10D;;26,1102874406831;26,1102874406831;0;NaN;NaN;NaN;0;60;
;C03;SYBR;PRDX;Unkn;N13_11A;;25,6384996078389;25,6384996078389;0;NaN;NaN;NaN;0;60;
;C04;SYBR;PRDX;Unkn;N13_11B;;24,2914977631979;24,2914977631979;0;NaN;NaN;NaN;0;60;
;C05;SYBR;PRDX;Unkn;N13_11C;;25,1357208416276;25,1357208416276;0;NaN;NaN;NaN;0;60;
;C06;SYBR;PRDX;Unkn;N13_11D;;26,92558733075;26,92558733075;0;NaN;NaN;NaN;0;60;
;C07;SYBR;PRDX;Unkn;N13_12A;;24,3221195654699;24,3221195654699;0;NaN;NaN;NaN;0;60;
;C08;SYBR;PRDX;Unkn;N13_12B;;25,0284510092012;25,0284510092012;0;NaN;NaN;NaN;0;60;
;C09;SYBR;PRDX;Unkn;N13_12C;;25,3479104093054;25,3479104093054;0;NaN;NaN;NaN;0;60;
;C10;SYBR;PRDX;Unkn;N13_12D;;27,7684005870329;27,7684005870329;0;NaN;NaN;NaN;0;60;
;C11;SYBR;PRDX;Unkn;N13_13A;;24,0241513532281;24,0241513532281;0;NaN;NaN;NaN;0;60;
;C12;SYBR;PRDX;Unkn;N13_13B;;22,8327789031972;22,8327789031972;0;NaN;NaN;NaN;0;60;
;D01;SYBR;PRDX;Unkn;N13_13C;;25,526031929985;25,526031929985;0;NaN;NaN;NaN;0;60;
;D02;SYBR;PRDX;Unkn;N13_13D;;24,9030241292442;24,9030241292442;0;NaN;NaN;NaN;0;60;
;D05;SYBR;PRDX;Unkn;I4_1A;;24,1123480468406;24,1123480468406;0;NaN;NaN;NaN;0;60;
;D06;SYBR;PRDX;Unkn;I4_1B;;23,030982842801;23,030982842801;0;NaN;NaN;NaN;0;60;
;D07;SYBR;PRDX;Unkn;I4_2A;;22,5894083177952;22,5894083177952;0;NaN;NaN;NaN;0;60;
;D08;SYBR;PRDX;Unkn;I4_2B;;23,4396444524199;23,4396444524199;0;NaN;NaN;NaN;0;60;
;D09;SYBR;PRDX;Unkn;I4_3A;;24,3198328852231;24,3198328852231;0;NaN;NaN;NaN;0;60;
;D10;SYBR;PRDX;Unkn;I4_3B;;24,0624179036005;24,0624179036005;0;NaN;NaN;NaN;0;60;
;D11;SYBR;PRDX;Unkn;I4_4A;;23,4795576449655;23,4795576449655;0;NaN;NaN;NaN;0;60;
;D12;SYBR;PRDX;Unkn;I4_4B;;23,7843012160091;23,7843012160091;0;NaN;NaN;NaN;0;60;
;E01;SYBR;PRDX;Unkn;I4_5A;;22,8906765922364;22,8906765922364;0;NaN;NaN;NaN;0;60;
;E02;SYBR;PRDX;Unkn;I4_5B;;22,6268499477615;22,6268499477615;0;NaN;NaN;NaN;0;60;
;E03;SYBR;PRDX;Unkn;I4_6A;;23,4785366706514;23,4785366706514;0;NaN;NaN;NaN;0;60;
;E04;SYBR;PRDX;Unkn;I4_6B;;22,9665932238165;22,9665932238165;0;NaN;NaN;NaN;0;60;
;E05;SYBR;PRDX;Unkn;I4_7A;;23,8892866514877;23,8892866514877;0;NaN;NaN;NaN;0;60;
;E06;SYBR;PRDX;Unkn;I4_7B;;23,3862731381259;23,3862731381259;0;NaN;NaN;NaN;0;60;
;E07;SYBR;PRDX;Unkn;I4_8A;;23,6051653127173;23,6051653127173;0;NaN;NaN;NaN;0;60;
;E08;SYBR;PRDX;Unkn;I4_8B;;24,674923236489;24,674923236489;0;NaN;NaN;NaN;0;60;
;E09;SYBR;PRDX;Unkn;I4_8C;;23,8842932660642;23,8842932660642;0;NaN;NaN;NaN;0;60;
;E10;SYBR;PRDX;Unkn;I4_8D;;23,6448189120666;23,6448189120666;0;NaN;NaN;NaN;0;60;
;E11;SYBR;PRDX;Unkn;I4_9A;;22,6837766272246;22,6837766272246;0;NaN;NaN;NaN;0;60;
;E12;SYBR;PRDX;Unkn;I4_9B;;23,3690964262967;23,3690964262967;0;NaN;NaN;NaN;0;60;
;F01;SYBR;PRDX;Unkn;I4_9C;;24,293081872215;24,293081872215;0;NaN;NaN;NaN;0;60;
;F02;SYBR;PRDX;Unkn;I4_9D;;25,8856172735533;25,8856172735533;0;NaN;NaN;NaN;0;60;
;F03;SYBR;PRDX;Unkn;I4_10A;;21,7723069773701;21,7723069773701;0;NaN;NaN;NaN;0;60;
;F04;SYBR;PRDX;Unkn;I4_10B;;22,7131005089365;22,7131005089365;0;NaN;NaN;NaN;0;60;
;F05;SYBR;PRDX;Unkn;I4_10C;;NaN;0;0;NaN;NaN;0;0;60;
;F06;SYBR;PRDX;Unkn;I4_10D;;24,9167432701924;24,9167432701924;0;NaN;NaN;NaN;0;60;
;F07;SYBR;PRDX;Unkn;I4_11A;;21,9618754858547;21,9618754858547;0;NaN;NaN;NaN;0;60;
;F08;SYBR;PRDX;Unkn;I4_11B;;23,2458309731394;23,2458309731394;0;NaN;NaN;NaN;0;60;
