;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;LHY;Unkn;N13_1A;;NaN;0;0;NaN;NaN;0;0;60;
;A02;SYBR;LHY;Unkn;N13_1B;;25,3230281952651;25,3230281952651;0;NaN;NaN;NaN;0;60;
;A03;SYBR;LHY;Unkn;N13_2A;;26,9638662244894;26,9638662244894;0;NaN;NaN;NaN;0;60;
;A04;SYBR;LHY;Unkn;N13_2B;;NaN;0;0;NaN;NaN;0;0;60;
;A05;SYBR;LHY;Unkn;N13_3A;;27,1083880010652;27,1083880010652;0;NaN;NaN;NaN;0;60;
;A06;SYBR;LHY;Unkn;N13_3B;;27,2821359625638;27,2821359625638;0;NaN;NaN;NaN;0;60;
;A07;SYBR;LHY;Unkn;N13_4A;;28,1119097780278;28,1119097780278;0;NaN;NaN;NaN;0;60;
;A08;SYBR;LHY;Unkn;N13_4B;;32,8101073054857;32,8101073054857;0;NaN;NaN;NaN;0;60;
;A09;SYBR;LHY;Unkn;N13_5A;;30,1008088063943;30,1008088063943;0;NaN;NaN;NaN;0;60;
;A10;SYBR;LHY;Unkn;N13_5B;;33,276688604884;33,276688604884;0;NaN;NaN;NaN;0;60;
;A11;SYBR;LHY;Unkn;N13_6A;;30,8909933726451;30,8909933726451;0;NaN;NaN;NaN;0;60;
;A12;SYBR;LHY;Unkn;N13_6B;;28,5555246328481;28,5555246328481;0;NaN;NaN;NaN;0;60;
;B01;SYBR;LHY;Unkn;N13_7A;;25,9888938400848;25,9888938400848;0;NaN;NaN;NaN;0;60;
;B02;SYBR;LHY;Unkn;N13_7B;;NaN;0;0;NaN;NaN;0;0;60;
;B03;SYBR;LHY;Unkn;N13_8A;;25,4384784641962;25,4384784641962;0;NaN;NaN;NaN;0;60;
;B04;SYBR;LHY;Unkn;N13_8B;;28,687227020724;28,687227020724;0;NaN;NaN;NaN;0;60;
;B05;SYBR;LHY;Unkn;N13_8C;;25,8111668370071;25,8111668370071;0;NaN;NaN;NaN;0;60;
;B06;SYBR;LHY;Unkn;N13_8D;;26,0254733021999;26,0254733021999;0;NaN;NaN;NaN;0;60;
;B07;SYBR;LHY;Unkn;N13_9A;;26,6089203002051;26,6089203002051;0;NaN;NaN;NaN;0;60;
;B08;SYBR;LHY;Unkn;N13_9B;;NaN;0;0;NaN;NaN;0;0;60;
;B09;SYBR;LHY;Unkn;N13_9C;;26,0627475840685;26,0627475840685;0;NaN;NaN;NaN;0;60;
;B10;SYBR;LHY;Unkn;N13_9D;;27,4966890923239;27,4966890923239;0;NaN;NaN;NaN;0;60;
;B11;SYBR;LHY;Unkn;N13_10A;;30,6536015710638;30,6536015710638;0;NaN;NaN;NaN;0;60;
;B12;SYBR;LHY;Unkn;N13_10B;;34,6977252692329;34,6977252692329;0;NaN;NaN;NaN;0;60;
;C01;SYBR;LHY;Unkn;N13_10C;;28,5685658441925;28,5685658441925;0;NaN;NaN;NaN;0;60;
;C02;SYBR;LHY;Unkn;N13_10D;;30,8913117489067;30,8913117489067;0;NaN;NaN;NaN;0;60;
;C03;SYBR;LHY;Unkn;N13_11A;;30,0264875003596;30,0264875003596;0;NaN;NaN;NaN;0;60;
;C04;SYBR;LHY;Unkn;N13_11B;;32,6385568403136;32,6385568403136;0;NaN;NaN;NaN;0;60;
;C05;SYBR;LHY;Unkn;N13_11C;;31,0327889697331;31,0327889697331;0;NaN;NaN;NaN;0;60;
;C06;SYBR;LHY;Unkn;N13_11D;;32,4154794236828;32,4154794236828;0;NaN;NaN;NaN;0;60;
;C07;SYBR;LHY;Unkn;N13_12A;;32,3803784560938;32,3803784560938;0;NaN;NaN;NaN;0;60;
;C08;SYBR;LHY;Unkn;N13_12B;;29,6928691742775;29,6928691742775;0;NaN;NaN;NaN;0;60;
;C09;SYBR;LHY;Unkn;N13_12C;;29,8577663250985;29,8577663250985;0;NaN;NaN;NaN;0;60;
;C10;SYBR;LHY;Unkn;N13_12D;;32,9717743973191;32,9717743973191;0;NaN;NaN;NaN;0;60;
;C11;SYBR;LHY;Unkn;N13_13A;;29,4016253562644;29,4016253562644;0;NaN;NaN;NaN;0;60;
;C12;SYBR;LHY;Unkn;N13_13B;;25,7813878345853;25,7813878345853;0;NaN;NaN;NaN;0;60;
;D01;SYBR;LHY;NTC;;;NaN;0;0;NaN;NaN;0;0;60;
;D02;SYBR;LHY;Unkn;N13_13D;;28,6993755108132;28,6993755108132;0;NaN;NaN;NaN;0;60;
;D05;SYBR;LHY;Unkn;I4_1A;;28,6265946427314;28,6265946427314;0;NaN;NaN;NaN;0;60;
;D06;SYBR;LHY;Unkn;I4_1B;;26,026169658993;26,026169658993;0;NaN;NaN;NaN;0;60;
;D07;SYBR;LHY;Unkn;I4_2A;;26,3074363688382;26,3074363688382;0;NaN;NaN;NaN;0;60;
;D08;SYBR;LHY;Unkn;I4_2B;;25,9591382332317;25,9591382332317;0;NaN;NaN;NaN;0;60;
;D09;SYBR;LHY;Unkn;I4_3A;;27,6978179587858;27,6978179587858;0;NaN;NaN;NaN;0;60;
;D10;SYBR;LHY;Unkn;I4_3B;;28,8829792872642;28,8829792872642;0;NaN;NaN;NaN;0;60;
;D11;SYBR;LHY;Unkn;I4_4A;;29,6000289131533;29,6000289131533;0;NaN;NaN;NaN;0;60;
;D12;SYBR;LHY;Unkn;I4_4B;;32,0248016917773;32,0248016917773;0;NaN;NaN;NaN;0;60;
;E01;SYBR;LHY;Unkn;I4_5A;;32,0879207391995;32,0879207391995;0;NaN;NaN;NaN;0;60;
;E02;SYBR;LHY;Unkn;I4_5B;;32,6407127004154;32,6407127004154;0;NaN;NaN;NaN;0;60;
;E03;SYBR;LHY;Unkn;I4_6A;;30,185351751759;30,185351751759;0;NaN;NaN;NaN;0;60;
;E04;SYBR;LHY;Unkn;I4_6B;;30,6700459106858;30,6700459106858;0;NaN;NaN;NaN;0;60;
;E05;SYBR;LHY;Unkn;I4_7A;;27,4955888500115;27,4955888500115;0;NaN;NaN;NaN;0;60;
;E06;SYBR;LHY;Unkn;I4_7B;;NaN;0;0;NaN;NaN;0;0;60;
;E07;SYBR;LHY;Unkn;I4_8A;;25,7652098293648;25,7652098293648;0;NaN;NaN;NaN;0;60;
;E08;SYBR;LHY;Unkn;I4_8B;;27,2381510203891;27,2381510203891;0;NaN;NaN;NaN;0;60;
;E09;SYBR;LHY;Unkn;I4_8C;;25,6289603819856;25,6289603819856;0;NaN;NaN;NaN;0;60;
;E10;SYBR;LHY;Unkn;I4_8D;;26,1104988411353;26,1104988411353;0;NaN;NaN;NaN;0;60;
;E11;SYBR;LHY;Unkn;I4_9A;;26,6830815585571;26,6830815585571;0;NaN;NaN;NaN;0;60;
;E12;SYBR;LHY;Unkn;I4_9B;;28,6164584964616;28,6164584964616;0;NaN;NaN;NaN;0;60;
;F01;SYBR;LHY;Unkn;I4_9C;;26,0830029848759;26,0830029848759;0;NaN;NaN;NaN;0;60;
;F02;SYBR;LHY;Unkn;I4_9D;;28,8294807841306;28,8294807841306;0;NaN;NaN;NaN;0;60;
;F03;SYBR;LHY;Unkn;I4_10A;;38,4104866310067;38,4104866310067;0;NaN;NaN;NaN;0;60;
;F04;SYBR;LHY;Unkn;I4_10B;;30,9183270319313;30,9183270319313;0;NaN;NaN;NaN;0;60;
;F05;SYBR;LHY;Unkn;I4_10C;;27,5470086309809;27,5470086309809;0;NaN;NaN;NaN;0;60;
;F06;SYBR;LHY;Unkn;I4_10D;;29,2758263056606;29,2758263056606;0;NaN;NaN;NaN;0;60;
;F07;SYBR;LHY;Unkn;I4_11A;;30,4255832206733;30,4255832206733;0;NaN;NaN;NaN;0;60;
;F08;SYBR;LHY;Unkn;I4_11B;;29,6039824623905;29,6039824623905;0;NaN;NaN;NaN;0;60;
;F09;SYBR;LHY;Unkn;I4_11C;;NaN;0;0;NaN;NaN;0;0;60;
;F10;SYBR;LHY;Unkn;I4_11D;;NaN;0;0;NaN;NaN;0;0;60;
;F11;SYBR;LHY;Unkn;I4_12A;;29,5260766555526;29,5260766555526;0;NaN;NaN;NaN;0;60;
;F12;SYBR;LHY;Unkn;I4_12B;;29,5640335995417;29,5640335995417;0;NaN;NaN;NaN;0;60;
;G01;SYBR;LHY;Unkn;I4_12C;;31,2704484066834;31,2704484066834;0;NaN;NaN;NaN;0;60;
;G02;SYBR;LHY;Unkn;I4_12D;;32,2211417480557;32,2211417480557;0;NaN;NaN;NaN;0;60;
;G03;SYBR;LHY;Unkn;I4_13A;;27,8564366192495;27,8564366192495;0;NaN;NaN;NaN;0;60;
;G04;SYBR;LHY;Unkn;I4_13B;;25,8497645231886;25,8497645231886;0;NaN;NaN;NaN;0;60;
;G05;SYBR;LHY;Unkn;I4_13C;;30,8067028448326;30,8067028448326;0;NaN;NaN;NaN;0;60;
;G06;SYBR;LHY;Unkn;I4_13D;;29,8280519703175;29,8280519703175;0;NaN;NaN;NaN;0;60;
;G07;SYBR;LHY;NTC;NTC;;NaN;0;0;NaN;NaN;0;0;60;
;G08;SYBR;;Unkn;I4_2B_1;;26,3570080724609;26,3570080724609;0;NaN;NaN;NaN;0;60;
;H10;SYBR;GAPDH;Unkn;IRC1_34;;20,8172521698521;20,8172521698521;0;NaN;NaN;NaN;0;60;
;H11;SYBR;GAPDH;Unkn;IRC2_34;;21,8249427326032;21,8249427326032;0;NaN;NaN;NaN;0;60;
;H12;SYBR;GAPDH;Unkn;IRC3_34;;21,4958211100603;21,4958211100603;0;NaN;NaN;NaN;0;60;
