,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,LUX,Unkn,N13_1A,,"30,3831171523818","30,3831171523818",0,NaN,NaN,NaN,0,60,
,A02,SYBR,LUX,Unkn,N13_1B,,"33,1695426351692","33,1695426351692",0,NaN,NaN,NaN,0,60,
,A03,SYBR,LUX,Unkn,N13_2A,,"32,3255516182664","32,3255516182664",0,NaN,NaN,NaN,0,60,
,A04,SYBR,LUX,Unkn,N13_2B,,"34,2063832098195","34,2063832098195",0,NaN,NaN,NaN,0,60,
,A05,SYBR,LUX,Unkn,N13_3A,,"31,0686052940142","31,0686052940142",0,NaN,NaN,NaN,0,60,
,A06,SYBR,LUX,Unkn,N13_3B,,"34,7400909175221","34,7400909175221",0,NaN,NaN,NaN,0,60,
,A07,SYBR,LUX,Unkn,N13_4A,,"27,6847937395623","27,6847937395623",0,NaN,NaN,NaN,0,60,
,A08,SYBR,LUX,Unkn,N13_4B,,"26,934606349347","26,934606349347",0,NaN,NaN,NaN,0,60,
,A09,SYBR,LUX,Unkn,N13_5A,,"27,7910027248328","27,7910027248328",0,NaN,NaN,NaN,0,60,
,A10,SYBR,LUX,Unkn,N13_5B,,"28,4545167623428","28,4545167623428",0,NaN,NaN,NaN,0,60,
,A11,SYBR,LUX,Unkn,N13_6A,,"29,1925180063219","29,1925180063219",0,NaN,NaN,NaN,0,60,
,A12,SYBR,LUX,Unkn,N13_6B,,"31,5298904930879","31,5298904930879",0,NaN,NaN,NaN,0,60,
,B01,SYBR,LUX,Unkn,N13_7A,,"30,8019516246156","30,8019516246156",0,NaN,NaN,NaN,0,60,
,B02,SYBR,LUX,Unkn,N13_7B,,"38,5635491807405","38,5635491807405",0,NaN,NaN,NaN,0,60,
,B03,SYBR,LUX,Unkn,N13_8A,,"33,3242701796482","33,3242701796482",0,NaN,NaN,NaN,0,60,
,B04,SYBR,LUX,Unkn,N13_8B,,"32,1233482035126","32,1233482035126",0,NaN,NaN,NaN,0,60,
,B05,SYBR,LUX,Unkn,N13_8C,,"33,8559672960218","33,8559672960218",0,NaN,NaN,NaN,0,60,
,B06,SYBR,LUX,Unkn,N13_8D,,"34,3260901684819","34,3260901684819",0,NaN,NaN,NaN,0,60,
,B07,SYBR,LUX,Unkn,N13_9A,,"29,9933229039098","29,9933229039098",0,NaN,NaN,NaN,0,60,
,B08,SYBR,LUX,Unkn,N13_9B,,"29,791025610815","29,791025610815",0,NaN,NaN,NaN,0,60,
,B09,SYBR,LUX,Unkn,N13_9D,,"34,059211105987","34,059211105987",0,NaN,NaN,NaN,0,60,
,B10,SYBR,LUX,Unkn,N13_9C,,"32,011482584582","32,011482584582",0,NaN,NaN,NaN,0,60,
,B11,SYBR,LUX,Unkn,N13_10A,,"29,5245837567775","29,5245837567775",0,NaN,NaN,NaN,0,60,
,B12,SYBR,LUX,Unkn,N13_10B,,"29,7474287290415","29,7474287290415",0,NaN,NaN,NaN,0,60,
,C01,SYBR,LUX,Unkn,N13_10C,,"32,7554889606397","32,7554889606397",0,NaN,NaN,NaN,0,60,
,C02,SYBR,LUX,Unkn,N13_10D,,"32,0792127400463","32,0792127400463",0,NaN,NaN,NaN,0,60,
,C03,SYBR,LUX,Unkn,N13_11A,,"30,0519547508733","30,0519547508733",0,NaN,NaN,NaN,0,60,
,C04,SYBR,LUX,Unkn,N13_11B,,"29,8849194433855","29,8849194433855",0,NaN,NaN,NaN,0,60,
,C05,SYBR,LUX,Unkn,N13_11C,,"31,2491804607031","31,2491804607031",0,NaN,NaN,NaN,0,60,
,C06,SYBR,LUX,Unkn,N13_11D,,"30,6029740788787","30,6029740788787",0,NaN,NaN,NaN,0,60,
,C07,SYBR,LUX,Unkn,N13_12A,,"29,7218046072276","29,7218046072276",0,NaN,NaN,NaN,0,60,
,C08,SYBR,LUX,Unkn,N13_12B,,"31,4444996528114","31,4444996528114",0,NaN,NaN,NaN,0,60,
,C09,SYBR,LUX,Unkn,N13_12C,,"28,5928070936403","28,5928070936403",0,NaN,NaN,NaN,0,60,
,C10,SYBR,LUX,Unkn,N13_12D,,"29,5229843025204","29,5229843025204",0,NaN,NaN,NaN,0,60,
,C11,SYBR,LUX,Unkn,N13_13A,,"29,8524696530874","29,8524696530874",0,NaN,NaN,NaN,0,60,
,C12,SYBR,LUX,Unkn,N13_13B,,"32,9971853371554","32,9971853371554",0,NaN,NaN,NaN,0,60,
,D01,SYBR,LUX,Unkn,N13_13C,,"28,142213610002","28,142213610002",0,NaN,NaN,NaN,0,60,
,D02,SYBR,LUX,Unkn,N13_13D,,"34,5261111332958","34,5261111332958",0,NaN,NaN,NaN,0,60,
,D05,SYBR,LUX,Unkn,I4_1A,,"30,9042160129298","30,9042160129298",0,NaN,NaN,NaN,0,60,
,D06,SYBR,LUX,Unkn,I4_1B,,"33,0441615349571","33,0441615349571",0,NaN,NaN,NaN,0,60,
,D07,SYBR,LUX,Unkn,I4_2A,,"31,0208432095548","31,0208432095548",0,NaN,NaN,NaN,0,60,
,D08,SYBR,LUX,Unkn,I4_2B,,"31,6064247925725","31,6064247925725",0,NaN,NaN,NaN,0,60,
,D09,SYBR,LUX,Unkn,I4_3A,,"30,7973073641184","30,7973073641184",0,NaN,NaN,NaN,0,60,
,D10,SYBR,LUX,Unkn,I4_3B,,"29,358684835835","29,358684835835",0,NaN,NaN,NaN,0,60,
,D11,SYBR,LUX,Unkn,I4_4A,,"28,5407156770896","28,5407156770896",0,NaN,NaN,NaN,0,60,
,D12,SYBR,LUX,Unkn,I4_4B,,"27,2458953388998","27,2458953388998",0,NaN,NaN,NaN,0,60,
,E01,SYBR,LUX,Unkn,I4_5A,,"27,3434366019794","27,3434366019794",0,NaN,NaN,NaN,0,60,
,E02,SYBR,LUX,Unkn,I4_5B,,"28,0283573341248","28,0283573341248",0,NaN,NaN,NaN,0,60,
,E03,SYBR,LUX,Unkn,I4_6A,,"29,5793964970261","29,5793964970261",0,NaN,NaN,NaN,0,60,
,E04,SYBR,LUX,Unkn,I4_6B,,"30,410846748465","30,410846748465",0,NaN,NaN,NaN,0,60,
,E05,SYBR,LUX,Unkn,I4_7A,,"30,8926748567906","30,8926748567906",0,NaN,NaN,NaN,0,60,
,E06,SYBR,LUX,Unkn,I4_7B,,"32,4522162237862","32,4522162237862",0,NaN,NaN,NaN,0,60,
,E07,SYBR,LUX,Unkn,I4_8A,,"32,3116816260061","32,3116816260061",0,NaN,NaN,NaN,0,60,
,E08,SYBR,LUX,Unkn,I4_8B,,"33,6364050404077","33,6364050404077",0,NaN,NaN,NaN,0,60,
,E09,SYBR,LUX,Unkn,I4_8C,,"32,3799998249706","32,3799998249706",0,NaN,NaN,NaN,0,60,
,E10,SYBR,LUX,Unkn,I4_8D,,"31,8319028212698","31,8319028212698",0,NaN,NaN,NaN,0,60,
,E11,SYBR,LUX,Unkn,I4_9A,,"29,2165195117409","29,2165195117409",0,NaN,NaN,NaN,0,60,
,E12,SYBR,LUX,Unkn,I4_9B,,"28,6945449770918","28,6945449770918",0,NaN,NaN,NaN,0,60,
,F01,SYBR,LUX,Unkn,I4_9C,,"32,3196810293339","32,3196810293339",0,NaN,NaN,NaN,0,60,
,F02,SYBR,LUX,Unkn,I4_9D,,"32,6206676612713","32,6206676612713",0,NaN,NaN,NaN,0,60,
,F03,SYBR,LUX,Unkn,I4_10A,,"26,3132701318189","26,3132701318189",0,NaN,NaN,NaN,0,60,
,F04,SYBR,LUX,Unkn,I4_10B,,"27,4047598566935","27,4047598566935",0,NaN,NaN,NaN,0,60,
,F05,SYBR,LUX,Unkn,I4_10C,,"35,8342961777627","35,8342961777627",0,NaN,NaN,NaN,0,60,
,F06,SYBR,LUX,Unkn,I4_10D,,"27,7824011772066","27,7824011772066",0,NaN,NaN,NaN,0,60,
,F07,SYBR,LUX,Unkn,I4_11A,,"27,305965648064","27,305965648064",0,NaN,NaN,NaN,0,60,
,F08,SYBR,LUX,Unkn,I4_11B,,"30,3442907712666","30,3442907712666",0,NaN,NaN,NaN,0,60,
,F09,SYBR,LUX,Unkn,I4_11C,,"30,9295639150692","30,9295639150692",0,NaN,NaN,NaN,0,60,
,F10,SYBR,LUX,Unkn,I4_11D,,"30,5970612397394","30,5970612397394",0,NaN,NaN,NaN,0,60,
,F11,SYBR,LUX,Unkn,I4_12A,,"30,4065708713224","30,4065708713224",0,NaN,NaN,NaN,0,60,
,F12,SYBR,LUX,Unkn,I4_12B,,"32,3415130547282","32,3415130547282",0,NaN,NaN,NaN,0,60,
,G01,SYBR,LUX,Unkn,I4_12C,,"30,0991626642742","30,0991626642742",0,NaN,NaN,NaN,0,60,
,G02,SYBR,LUX,Unkn,I4_12D,,"30,6306624081993","30,6306624081993",0,NaN,NaN,NaN,0,60,
,G03,SYBR,LUX,Unkn,I4_13A,,"32,9632123415523","32,9632123415523",0,NaN,NaN,NaN,0,60,
,G04,SYBR,LUX,Unkn,I4_13B,,"33,6144210058664","33,6144210058664",0,NaN,NaN,NaN,0,60,
,G05,SYBR,LUX,Unkn,I4_13C,,"31,2739503338759","31,2739503338759",0,NaN,NaN,NaN,0,60,
,G06,SYBR,LUX,Unkn,I4_13D,,"29,806782033985","29,806782033985",0,NaN,NaN,NaN,0,60,
,H10,SYBR,GAPDH,Unkn,IRC1_56,,"20,9056349057973","20,9056349057973",0,NaN,NaN,NaN,0,60,
,H11,SYBR,GAPDH,Unkn,IRC2_56,,"21,6434891948011","21,6434891948011",0,NaN,NaN,NaN,0,60,
,H12,SYBR,GAPDH,Unkn,IRC3_56,,"21,5105194606302","21,5105194606302",0,NaN,NaN,NaN,0,60,
