;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;PRR7;Unkn;N2_1A;;30,6894793239079;30,6894793239079;0;NaN;NaN;NaN;0;60;
;A02;SYBR;PRR7;Unkn;N2_1B;;28,3055849903096;28,3055849903096;0;NaN;NaN;NaN;0;60;
;A03;SYBR;PRR7;Unkn;N2_2A;;28,0382381564016;28,0382381564016;0;NaN;NaN;NaN;0;60;
;A04;SYBR;PRR7;Unkn;N2_2B;;27,5350827352411;27,5350827352411;0;NaN;NaN;NaN;0;60;
;A05;SYBR;PRR7;Unkn;N2_3A;;24,3254937593083;24,3254937593083;0;NaN;NaN;NaN;0;60;
;A06;SYBR;PRR7;Unkn;N2_3B;;24,8295831938754;24,8295831938754;0;NaN;NaN;NaN;0;60;
;A07;SYBR;PRR7;Unkn;N2_4A;;24,0644393892348;24,0644393892348;0;NaN;NaN;NaN;0;60;
;A08;SYBR;PRR7;Unkn;N2_4B;;23,0546536867207;23,0546536867207;0;NaN;NaN;NaN;0;60;
;A09;SYBR;PRR7;Unkn;N2_5A;;32,3282189269105;32,3282189269105;0;NaN;NaN;NaN;0;60;
;A10;SYBR;PRR7;Unkn;N2_5B;;25,1879973689122;25,1879973689122;0;NaN;NaN;NaN;0;60;
;A11;SYBR;PRR7;Unkn;N2_6A;;25,863922155852;25,863922155852;0;NaN;NaN;NaN;0;60;
;A12;SYBR;PRR7;Unkn;N2_6B;;28,9323396489468;28,9323396489468;0;NaN;NaN;NaN;0;60;
;B01;SYBR;PRR7;Unkn;N2_7A;;27,8850587715711;27,8850587715711;0;NaN;NaN;NaN;0;60;
;B02;SYBR;PRR7;Unkn;N2_7B;;30,2925011683503;30,2925011683503;0;NaN;NaN;NaN;0;60;
;B03;SYBR;PRR7;Unkn;N2_8A;;26,0545403522738;26,0545403522738;0;NaN;NaN;NaN;0;60;
;B04;SYBR;PRR7;Unkn;N2_8B;;25,7569836604389;25,7569836604389;0;NaN;NaN;NaN;0;60;
;B05;SYBR;PRR7;Unkn;N2_8C;;28,7749529236977;28,7749529236977;0;NaN;NaN;NaN;0;60;
;B06;SYBR;PRR7;Unkn;N2_8D;;27,5086901605531;27,5086901605531;0;NaN;NaN;NaN;0;60;
;B07;SYBR;PRR7;Unkn;N2_9A;;25,6373905698569;25,6373905698569;0;NaN;NaN;NaN;0;60;
;B08;SYBR;PRR7;Unkn;N2_9B;;24,8341157898257;24,8341157898257;0;NaN;NaN;NaN;0;60;
;B09;SYBR;PRR7;Unkn;N2_9C;;27,0034413293737;27,0034413293737;0;NaN;NaN;NaN;0;60;
;B10;SYBR;PRR7;Unkn;N2_9D;;26,2860395029906;26,2860395029906;0;NaN;NaN;NaN;0;60;
;B11;SYBR;PRR7;Unkn;N2_10A;;24,6061156622455;24,6061156622455;0;NaN;NaN;NaN;0;60;
;B12;SYBR;PRR7;Unkn;N2_10B;;25,1688874690485;25,1688874690485;0;NaN;NaN;NaN;0;60;
;C01;SYBR;PRR7;Unkn;N2_10C;;26,6349170711619;26,6349170711619;0;NaN;NaN;NaN;0;60;
;C02;SYBR;PRR7;Unkn;N2_10D;;26,9384632288539;26,9384632288539;0;NaN;NaN;NaN;0;60;
;C03;SYBR;PRR7;Unkn;N2_11A;;27,0001361327614;27,0001361327614;0;NaN;NaN;NaN;0;60;
;C04;SYBR;PRR7;Unkn;N2_11B;;27,8272387798046;27,8272387798046;0;NaN;NaN;NaN;0;60;
;C05;SYBR;PRR7;Unkn;N2_11C;;27,2776364243204;27,2776364243204;0;NaN;NaN;NaN;0;60;
;C06;SYBR;PRR7;Unkn;N2_11D;;25,5456671679369;25,5456671679369;0;NaN;NaN;NaN;0;60;
;C07;SYBR;PRR7;Unkn;N2_12A;;27,2427886772832;27,2427886772832;0;NaN;NaN;NaN;0;60;
;C08;SYBR;PRR7;Unkn;N2_12B;;28,6797693619391;28,6797693619391;0;NaN;NaN;NaN;0;60;
;C09;SYBR;PRR7;Unkn;N2_12C;;25,1649941425921;25,1649941425921;0;NaN;NaN;NaN;0;60;
;C10;SYBR;PRR7;Unkn;N2_12D;;26,6889159330655;26,6889159330655;0;NaN;NaN;NaN;0;60;
;C11;SYBR;PRR7;Unkn;N2_13A;;29,6624164993631;29,6624164993631;0;NaN;NaN;NaN;0;60;
;C12;SYBR;PRR7;Unkn;N2_13B;;28,8866663083235;28,8866663083235;0;NaN;NaN;NaN;0;60;
;D01;SYBR;PRR7;Unkn;N2_13C;;27,2067430338069;27,2067430338069;0;NaN;NaN;NaN;0;60;
;D02;SYBR;PRR7;Unkn;N2_13D;;27,829948544372;27,829948544372;0;NaN;NaN;NaN;0;60;
;D03;SYBR;PRR7;NTC;NTC;;NaN;0;0;NaN;NaN;0;0;60;
;D05;SYBR;PRR7;Unkn;I1_1A;;28,753617873865;28,753617873865;0;NaN;NaN;NaN;0;60;
;D06;SYBR;PRR7;Unkn;I1_1B;;31,5950230681253;31,5950230681253;0;NaN;NaN;NaN;0;60;
;D07;SYBR;PRR7;Unkn;I1_2A;;26,2571678201336;26,2571678201336;0;NaN;NaN;NaN;0;60;
;D08;SYBR;PRR7;Unkn;I1_2B;;27,2149422815245;27,2149422815245;0;NaN;NaN;NaN;0;60;
;D09;SYBR;PRR7;Unkn;I1_3A;;25,3850033111486;25,3850033111486;0;NaN;NaN;NaN;0;60;
;D10;SYBR;PRR7;Unkn;I1_3B;;NaN;0;0;NaN;NaN;0;0;60;
;D11;SYBR;PRR7;Unkn;I1_4A;;25,1795459335859;25,1795459335859;0;NaN;NaN;NaN;0;60;
;D12;SYBR;PRR7;Unkn;I1_4B;;26,032421660275;26,032421660275;0;NaN;NaN;NaN;0;60;
;E01;SYBR;PRR7;Unkn;I1_5A;;26,1948200377925;26,1948200377925;0;NaN;NaN;NaN;0;60;
;E02;SYBR;PRR7;Unkn;I1_5B;;26,5535251335528;26,5535251335528;0;NaN;NaN;NaN;0;60;
;E03;SYBR;PRR7;Unkn;I1_6A;;26,4168342430476;26,4168342430476;0;NaN;NaN;NaN;0;60;
;E04;SYBR;PRR7;Unkn;I1_6B;;28,6838621924173;28,6838621924173;0;NaN;NaN;NaN;0;60;
;E05;SYBR;PRR7;Unkn;I1_7A;;27,9744290903195;27,9744290903195;0;NaN;NaN;NaN;0;60;
;E06;SYBR;PRR7;Unkn;I1_7B;;32,0243614500705;32,0243614500705;0;NaN;NaN;NaN;0;60;
;E07;SYBR;PRR7;Unkn;I1_8A;;34,2615823053031;34,2615823053031;0;NaN;NaN;NaN;0;60;
;E08;SYBR;PRR7;Unkn;I1_8B;;27,4303464562716;27,4303464562716;0;NaN;NaN;NaN;0;60;
;E09;SYBR;PRR7;Unkn;I1_8C;;28,7227951618375;28,7227951618375;0;NaN;NaN;NaN;0;60;
;E10;SYBR;PRR7;Unkn;I1_8D;;27,0101745013648;27,0101745013648;0;NaN;NaN;NaN;0;60;
;E11;SYBR;PRR7;Unkn;I1_9A;;25,2485644684682;25,2485644684682;0;NaN;NaN;NaN;0;60;
;E12;SYBR;PRR7;Unkn;I1_9B;;25,1465398524263;25,1465398524263;0;NaN;NaN;NaN;0;60;
;F01;SYBR;PRR7;Unkn;I1_9C;;27,1262958560352;27,1262958560352;0;NaN;NaN;NaN;0;60;
;F02;SYBR;PRR7;Unkn;I1_9D;;26,2434497686162;26,2434497686162;0;NaN;NaN;NaN;0;60;
;F03;SYBR;PRR7;Unkn;I1_10A;;24,7422839925407;24,7422839925407;0;NaN;NaN;NaN;0;60;
;F04;SYBR;PRR7;Unkn;I1_10B;;25,3033773175123;25,3033773175123;0;NaN;NaN;NaN;0;60;
;F05;SYBR;PRR7;Unkn;I1_10C;;27,1430697067628;27,1430697067628;0;NaN;NaN;NaN;0;60;
;F06;SYBR;PRR7;Unkn;I1_10D;;26,7125083127021;26,7125083127021;0;NaN;NaN;NaN;0;60;
;F07;SYBR;PRR7;Unkn;I1_11A;;26,9519006315483;26,9519006315483;0;NaN;NaN;NaN;0;60;
;F08;SYBR;PRR7;Unkn;I1_11B;;28,2754114243779;28,2754114243779;0;NaN;NaN;NaN;0;60;
;F09;SYBR;PRR7;Unkn;I1_11C;;26,3152761167612;26,3152761167612;0;NaN;NaN;NaN;0;60;
;F10;SYBR;PRR7;Unkn;I1_11D;;26,996593353776;26,996593353776;0;NaN;NaN;NaN;0;60;
;F11;SYBR;PRR7;Unkn;I1_12A;;27,4489404100642;27,4489404100642;0;NaN;NaN;NaN;0;60;
;F12;SYBR;PRR7;Unkn;I1_12B;;29,0241527207022;29,0241527207022;0;NaN;NaN;NaN;0;60;
;G01;SYBR;PRR7;Unkn;I1_12C;;27,0907635902409;27,0907635902409;0;NaN;NaN;NaN;0;60;
;G02;SYBR;PRR7;Unkn;I1_12D;;28,0785746255866;28,0785746255866;0;NaN;NaN;NaN;0;60;
;G03;SYBR;PRR7;Unkn;I1_13A;;29,2078533889958;29,2078533889958;0;NaN;NaN;NaN;0;60;
;G04;SYBR;PRR7;Unkn;I1_13B;;32,2757464617299;32,2757464617299;0;NaN;NaN;NaN;0;60;
;G05;SYBR;PRR7;Unkn;I1_13C;;37,2828441857512;37,2828441857512;0;NaN;NaN;NaN;0;60;
;G06;SYBR;PRR7;Unkn;I1_13D;;27,9865349045616;27,9865349045616;0;NaN;NaN;NaN;0;60;
;G07;SYBR;PRR7;NTC;NTC;;NaN;0;0;NaN;NaN;0;0;60;
;H10;SYBR;GAPDH;Unkn;IRC1_21;;22,4419960964186;22,4419960964186;0;NaN;NaN;NaN;0;60;
;H11;SYBR;GAPDH;Unkn;IRC2_21;;23,0883307456526;23,0883307456526;0;NaN;NaN;NaN;0;60;
;H12;SYBR;GAPDH;Unkn;IRC3_21;;21,6115931549644;21,6115931549644;0;NaN;NaN;NaN;0;60;
