zeitgeber,Ttest_ind,p-value
4,-8.31704,2e-05
8,-3.3344,0.00756
16,3.25111,0.00998
20,6.53468,7e-05
28,-2.28108,0.04848
32,-3.28663,0.0082
36,2.85512,0.02131
44,3.78312,0.00433
48,2.29321,0.04752
