,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A02,SYBR,PRR5,Unkn,N2_1B,,"32,917366861119","32,917366861119",0,NaN,NaN,NaN,0,60,
,A03,SYBR,PRR5,Unkn,N2_2A,,"28,7919540223022","28,7919540223022",0,NaN,NaN,NaN,0,60,
,A04,SYBR,PRR5,Unkn,N2_2B,,"27,1420671248375","27,1420671248375",0,NaN,NaN,NaN,0,60,
,A05,SYBR,PRR5,Unkn,N2_3A,,"26,9499187643914","26,9499187643914",0,NaN,NaN,NaN,0,60,
,A06,SYBR,PRR5,Unkn,N2_3B,,"24,6881714536156","24,6881714536156",0,NaN,NaN,NaN,0,60,
,A07,SYBR,PRR5,Unkn,N2_4A,,"24,7119434908905","24,7119434908905",0,NaN,NaN,NaN,0,60,
,A08,SYBR,PRR5,Unkn,N2_4B,,"27,5299624361177","27,5299624361177",0,NaN,NaN,NaN,0,60,
,A09,SYBR,PRR5,Unkn,N2_5A,,"25,2022824898227","25,2022824898227",0,NaN,NaN,NaN,0,60,
,A10,SYBR,PRR5,Unkn,N2_5B,,"27,0280153585833","27,0280153585833",0,NaN,NaN,NaN,0,60,
,A11,SYBR,PRR5,Unkn,N2_6A,,"29,1367047949452","29,1367047949452",0,NaN,NaN,NaN,0,60,
,A12,SYBR,PRR5,Unkn,N2_6B,,"31,4473463829407","31,4473463829407",0,NaN,NaN,NaN,0,60,
,B01,SYBR,PRR5,Unkn,N2_7A,,"31,3318270023449","31,3318270023449",0,NaN,NaN,NaN,0,60,
,B02,SYBR,PRR5,Unkn,N2_7B,,"31,1204047250618","31,1204047250618",0,NaN,NaN,NaN,0,60,
,B03,SYBR,PRR5,Unkn,N2_8A,,"26,5653412633193","26,5653412633193",0,NaN,NaN,NaN,0,60,
,B04,SYBR,PRR5,Unkn,N2_8B,,"27,6296280169015","27,6296280169015",0,NaN,NaN,NaN,0,60,
,B05,SYBR,PRR5,Unkn,N2_8C,,"30,7246152892181","30,7246152892181",0,NaN,NaN,NaN,0,60,
,B06,SYBR,PRR5,Unkn,N2_8D,,"29,0470408754774","29,0470408754774",0,NaN,NaN,NaN,0,60,
,B07,SYBR,PRR5,Unkn,N2_9A,,"25,1197850907575","25,1197850907575",0,NaN,NaN,NaN,0,60,
,B08,SYBR,PRR5,Unkn,N2_9B,,"25,2223077680088","25,2223077680088",0,NaN,NaN,NaN,0,60,
,B09,SYBR,PRR5,Unkn,N2_9C,,"29,149070203677","29,149070203677",0,NaN,NaN,NaN,0,60,
,B10,SYBR,PRR5,Unkn,N2_9D,,"25,3847554252755","25,3847554252755",0,NaN,NaN,NaN,0,60,
,B11,SYBR,PRR5,Unkn,N2_10A,,"26,0847853428347","26,0847853428347",0,NaN,NaN,NaN,0,60,
,B12,SYBR,PRR5,Unkn,N2_10B,,"26,0393466393051","26,0393466393051",0,NaN,NaN,NaN,0,60,
,C01,SYBR,PRR5,Unkn,N2_10C,,"27,470449913763","27,470449913763",0,NaN,NaN,NaN,0,60,
,C02,SYBR,PRR5,Unkn,N2_10D,,"26,915395078743","26,915395078743",0,NaN,NaN,NaN,0,60,
,C03,SYBR,PRR5,Unkn,N2_11A,,"27,7230046665265","27,7230046665265",0,NaN,NaN,NaN,0,60,
,C04,SYBR,PRR5,Unkn,N2_11B,,"26,6396882717862","26,6396882717862",0,NaN,NaN,NaN,0,60,
,C06,SYBR,PRR5,Unkn,N2_11D,,"27,4709239252727","27,4709239252727",0,NaN,NaN,NaN,0,60,
,C07,SYBR,PRR5,Unkn,N2_12A,,"28,0949672211714","28,0949672211714",0,NaN,NaN,NaN,0,60,
,C08,SYBR,PRR5,Unkn,N2_12B,,"31,7814707070651","31,7814707070651",0,NaN,NaN,NaN,0,60,
,C09,SYBR,PRR5,Unkn,N2_12C,,"27,0376028337127","27,0376028337127",0,NaN,NaN,NaN,0,60,
,C10,SYBR,PRR5,Unkn,N2_12D,,"26,7045780784144","26,7045780784144",0,NaN,NaN,NaN,0,60,
,C11,SYBR,PRR5,Unkn,N2_13A,,"30,8933919299546","30,8933919299546",0,NaN,NaN,NaN,0,60,
,C12,SYBR,PRR5,Unkn,N2_13B,,"31,0751282396522","31,0751282396522",0,NaN,NaN,NaN,0,60,
,D01,SYBR,PRR5,Unkn,N2_13C,,"26,6255959643213","26,6255959643213",0,NaN,NaN,NaN,0,60,
,D02,SYBR,PRR5,Unkn,N2_13D,,"28,0447097009326","28,0447097009326",0,NaN,NaN,NaN,0,60,
,D03,SYBR,PRR5,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,60,
,D05,SYBR,PRR5,Unkn,I1_1A,,"31,6320015110939","31,6320015110939",0,NaN,NaN,NaN,0,60,
,D06,SYBR,PRR5,Unkn,I1_1B,,NaN,0,0,NaN,NaN,0,0,60,
,D07,SYBR,PRR5,Unkn,I1_2A,,"27,2781312153624","27,2781312153624",0,NaN,NaN,NaN,0,60,
,D09,SYBR,PRR5,Unkn,I1_3A,,"24,5780366473627","24,5780366473627",0,NaN,NaN,NaN,0,60,
,D10,SYBR,PRR5,Unkn,I1_3B,,"23,3713166275462","23,3713166275462",0,NaN,NaN,NaN,0,60,
,D11,SYBR,PRR5,Unkn,I1_4A,,"25,1340005246619","25,1340005246619",0,NaN,NaN,NaN,0,60,
,D12,SYBR,PRR5,Unkn,I1_4B,,"25,7462704399352","25,7462704399352",0,NaN,NaN,NaN,0,60,
,E01,SYBR,PRR5,Unkn,I1_5A,,"25,1576726474526","25,1576726474526",0,NaN,NaN,NaN,0,60,
,E02,SYBR,PRR5,Unkn,I1_5B,,"26,9503808949639","26,9503808949639",0,NaN,NaN,NaN,0,60,
,E03,SYBR,PRR5,Unkn,I1_6A,,"29,2053944311529","29,2053944311529",0,NaN,NaN,NaN,0,60,
,E04,SYBR,PRR5,Unkn,I1_6B,,"30,7463086485316","30,7463086485316",0,NaN,NaN,NaN,0,60,
,E05,SYBR,PRR5,Unkn,I1_7A,,"31,5519262861322","31,5519262861322",0,NaN,NaN,NaN,0,60,
,E06,SYBR,PRR5,Unkn,I1_7B,,"38,3879732933696","38,3879732933696",0,NaN,NaN,NaN,0,60,
,E07,SYBR,PRR5,Unkn,I1_8A,,"26,681130834352","26,681130834352",0,NaN,NaN,NaN,0,60,
,E08,SYBR,PRR5,Unkn,I1_8B,,"27,0488881486609","27,0488881486609",0,NaN,NaN,NaN,0,60,
,E09,SYBR,PRR5,Unkn,I1_8C,,"31,232112247446","31,232112247446",0,NaN,NaN,NaN,0,60,
,E10,SYBR,PRR5,Unkn,I1_8D,,"28,4667923195252","28,4667923195252",0,NaN,NaN,NaN,0,60,
